Ref,Val,Package,PosX,PosY,Rot,Side
"REF**","NPTH","NPTH",55.737133,-109.311000,0.000000,top
"REF**","NPTH","NPTH",76.279443,-48.333567,0.000000,top
"REF**","NPTH","NPTH",64.711399,-84.389000,0.000000,top
"REF**","NPTH","NPTH",54.070466,-84.389000,0.000000,top
"REF**","NPTH","NPTH",106.777133,-109.311000,0.000000,top
"REF**","NPTH","NPTH",87.161933,-107.809000,0.000000,top
"REF**","NPTH","NPTH",114.084732,-107.809000,0.000000,top
"REF**","NPTH","NPTH",56.570466,-84.389000,0.000000,top
"REF**","NPTH","NPTH",107.610466,-109.311000,0.000000,top
"REF**","NPTH","NPTH",33.621933,-109.311000,0.000000,top
"REF**","NPTH","NPTH",65.544732,-84.389000,0.000000,top
"REF**","NPTH","NPTH",94.469533,-107.809000,0.000000,top
"REF**","NPTH","NPTH",36.955267,-60.959000,0.000000,top
"REF**","NPTH","NPTH",63.878066,-109.311000,0.000000,top
"REF**","NPTH","NPTH",76.282556,-98.516899,0.000000,top
"REF**","NPTH","NPTH",94.469533,-84.389000,0.000000,top
"REF**","NPTH","NPTH",95.302866,-107.809000,0.000000,top
"REF**","NPTH","NPTH",105.110466,-85.891000,0.000000,top
"REF**","NPTH","NPTH",45.929533,-107.809000,0.000000,top
"REF**","NPTH","NPTH",74.758222,-72.591433,0.000000,top
"REF**","NPTH","NPTH",84.661933,-85.891000,0.000000,top
"REF**","NPTH","NPTH",105.943799,-109.311000,0.000000,top
"REF**","NPTH","NPTH",34.455267,-60.959000,0.000000,top
"REF**","NPTH","NPTH",63.878066,-85.891000,0.000000,top
"REF**","NPTH","NPTH",115.751399,-109.311000,0.000000,top
"REF**","NPTH","NPTH",44.262866,-85.891000,0.000000,top
"REF**","NPTH","NPTH",36.955267,-107.809000,0.000000,top
"REF**","NPTH","NPTH",36.121933,-109.311000,0.000000,top
"REF**","NPTH","NPTH",35.288600,-62.461000,0.000000,top
"REF**","NPTH","NPTH",46.762866,-84.389000,0.000000,top
"REF**","NPTH","NPTH",105.110466,-109.311000,0.000000,top
"REF**","NPTH","NPTH",63.044732,-107.809000,0.000000,top
"REF**","NPTH","NPTH",107.610466,-60.959000,0.000000,top
"REF**","NPTH","NPTH",115.751399,-107.809000,0.000000,top
"REF**","NPTH","NPTH",96.136200,-107.809000,0.000000,top
"REF**","NPTH","NPTH",106.777133,-85.891000,0.000000,top
