Designator,Mid X,Mid Y,Rotation,Layer
D4_2,107.800004,-54.299998,0.0,top
R6,61.299997,-106.300003,0.0,top
C6,37.999997,-51.499998,-90.0,top
D4,107.800004,-104.800003,0.0,top
*R8_2,87.850004,-30.499998,90.0,top
R14,31.499997,-101.000003,0.0,top
C4,41.999997,-88.000003,180.0,top
D6_3,103.800004,-54.299998,0.0,top
Q1,57.349997,-111.937503,90.0,top
Q3,49.299997,-112.000003,90.0,top
J1,89.750004,-65.499998,180.0,top
D6_2,103.800004,-104.800003,0.0,top
R15,96.000004,-48.087498,90.0,top
*D10,81.000004,-39.499998,-90.0,top
D6,53.299997,-54.299998,0.0,top
R1,118.600004,-32.299998,180.0,top
*R8,87.850004,-81.000003,90.0,top
*L1,86.500004,-39.499998,0.0,top
R18,103.800004,-106.300003,0.0,top
D5,99.800004,-104.800003,0.0,top
J3_4,106.100004,-116.800003,0.0,bottom
J2_4,53.299997,-108.400003,0.0,bottom
J3_3,55.599997,-66.299998,0.0,bottom
J3_2,55.599997,-116.800003,0.0,bottom
J4_4,106.100004,-121.600003,0.0,bottom
J2_3,103.800004,-57.899998,0.0,bottom
J4_3,106.100004,-71.099998,0.0,bottom
J4_2,55.599997,-71.099998,0.0,bottom
J4,55.599997,-121.600003,0.0,bottom
J2_2,53.299997,-57.899998,0.0,bottom
J3,106.100004,-66.299998,0.0,bottom
J2,103.800004,-108.400003,0.0,bottom
